"","nation","hospitalized_with_symptoms","intensive_care","hospitalized_total","home_isolation","positives_remaining","num_positives_variation","new_positives","total_discharged_healed","total_deceased","casi_da_sospetto_diagnostico","casi_da_screening","total_cases","tests","casi_testati","note","ingressi_intensive_care","notes_test","notes_casi","positives_remaining_test_molecolare","positives_remaining_test_antigenico_rapido","tests_test_molecolare","tests_test_antigenico_rapido","dt","total_cases_delta","intensive_care_delta","hospitalized_with_symptoms_delta","home_isolation_delta","total_discharged_healed_delta","total_deceased_delta","tests_delta","new_positives_delta","positives_remaining_delta","hospitalized_total_delta","tests_per_new_positives","total_tests_per_cases_ratio","positives_remaining_previous","positives_remaining_percent_delta","deceased_per_positives_day_before_ratio","discharged_healed_per_positives_day_before_ratio"
"1","ITA",101,26,127,94,221,0,221,1,7,NA,NA,229,4324,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,18.882096069869,221,0,0,0
"2","ITA",114,35,150,162,311,90,93,1,10,NA,NA,322,8623,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-02-25,93,9,13,68,0,3,4299,-128,90,22,46.2258064516129,26.7795031055901,221,40.7239819004525,1.35746606334842,0
"3","ITA",128,36,164,221,385,74,78,3,12,NA,NA,400,9587,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-02-26,78,1,14,59,2,2,964,-15,74,15,12.3589743589744,23.9675,311,23.7942122186495,0.643086816720257,0.643086816720257
"4","ITA",248,56,304,284,588,203,250,45,17,NA,NA,650,12014,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-02-27,250,20,120,63,42,5,2427,172,203,140,9.708,18.4830769230769,385,52.7272727272727,1.2987012987013,10.9090909090909
"5","ITA",345,64,409,412,821,233,238,46,21,NA,NA,888,15695,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-02-28,238,8,97,128,1,4,3681,-12,233,105,15.4663865546218,17.6745495495495,588,39.6258503401361,0.680272108843537,0.170068027210884
"6","ITA",401,105,506,543,1049,228,240,50,29,NA,NA,1128,18661,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-02-29,240,41,56,131,4,8,2966,2,228,97,12.3583333333333,16.5434397163121,821,27.7710109622412,0.97442143727162,0.48721071863581
"7","ITA",639,140,779,798,1577,528,566,83,34,NA,NA,1694,21127,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-01,566,35,238,255,33,5,2466,326,528,273,4.35689045936396,12.4716646989374,1049,50.3336510962822,0.476644423260248,3.14585319351764
"8","ITA",742,166,908,927,1835,258,342,149,52,NA,NA,2036,23345,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-02,342,26,103,129,66,18,2218,-224,258,129,6.48538011695906,11.4661100196464,1577,16.3601775523145,1.14140773620799,4.1851616994293
"9","ITA",1034,229,1263,1000,2263,428,466,160,79,NA,NA,2502,25856,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-03,466,63,292,73,11,27,2511,124,428,355,5.38841201716738,10.3341326938449,1835,23.3242506811989,1.47138964577657,0.599455040871935
"10","ITA",1346,295,1641,1065,2706,443,587,276,107,NA,NA,3089,29837,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-04,587,66,312,65,116,28,3981,121,443,378,6.78194207836457,9.65911298154743,2263,19.5757843570482,1.23729562527618,5.12593901900133
"11","ITA",1790,351,2141,1155,3296,590,769,414,148,NA,NA,3858,32362,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-05,769,56,444,90,138,41,2525,182,590,500,3.28348504551365,8.38828408501814,2706,21.8033998521803,1.51515151515152,5.09977827050998
"12","ITA",2394,462,2856,1060,3916,620,778,523,197,NA,NA,4636,36359,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-06,778,111,604,-95,109,49,3997,9,620,715,5.13753213367609,7.84275237273512,3296,18.8106796116505,1.48665048543689,3.30703883495146
"13","ITA",2651,567,3218,1843,5061,1145,1247,589,233,NA,NA,5883,42062,NA,"pd-IT-0003",NA,NA,NA,NA,NA,NA,NA,2020-03-07,1247,105,257,783,66,36,5703,469,1145,362,4.57337610264635,7.14975352711202,3916,29.2390194075587,0.919305413687436,1.68539325842697
"14","ITA",3557,650,4207,2180,6387,1326,1492,622,366,NA,NA,7375,49937,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-08,1492,83,906,337,33,133,7875,245,1326,989,5.27815013404826,6.7711186440678,5061,26.2003556609366,2.62793914246196,0.652045050385299
"15","ITA",4316,733,5049,2936,7985,1598,1797,724,463,NA,NA,9172,53826,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-09,1797,83,759,756,102,97,3889,305,1598,842,2.16416249304396,5.86851286524204,6387,25.0195710036011,1.51870987944262,1.59699389384688
"16","ITA",5038,877,5915,2599,8514,529,977,1004,631,NA,NA,10149,60761,NA,"pd-IT-0005",NA,NA,NA,NA,NA,NA,NA,2020-03-10,977,144,722,-337,280,168,6935,-820,529,866,7.09825997952917,5.98689526061681,7985,6.62492172824045,2.10394489668128,3.50657482780213
"17","ITA",5838,1028,6866,3724,10590,2076,2313,1045,827,NA,NA,12462,73154,NA,"nd-IT-0002",NA,NA,NA,NA,NA,NA,NA,2020-03-11,2313,151,800,1125,41,196,12393,1336,2076,951,5.3579766536965,5.87016530251966,8514,24.3833685694151,2.3020906741837,0.481559783885365
"18","ITA",6650,1153,7803,5036,12839,2249,2651,1258,1016,NA,NA,15113,86011,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-12,2651,125,812,1312,213,189,12857,338,2249,937,4.8498679743493,5.69119301263813,10590,21.2370160528801,1.78470254957507,2.01133144475921
"19","ITA",7426,1328,8754,6201,14955,2116,2547,1439,1266,NA,NA,17660,97488,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-13,2547,175,776,1165,181,250,11477,-104,2116,951,4.50608559089124,5.5202718006795,12839,16.4810343484695,1.94719214892126,1.40976711581899
"20","ITA",8372,1518,9890,7860,17750,2795,3497,1966,1441,NA,NA,21157,109170,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-14,3497,190,946,1659,527,175,11682,950,2795,1136,3.34057763797541,5.15999432811835,14955,18.6894015379472,1.17017719826145,3.52390504847877
"21","ITA",9663,1672,11335,9268,20603,2853,3590,2335,1809,NA,NA,24747,124899,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-15,3590,154,1291,1408,369,368,15729,93,2853,1445,4.38133704735376,5.04703600436417,17750,16.0732394366197,2.07323943661972,2.07887323943662
"22","ITA",11025,1851,12876,10197,23073,2470,3233,2749,2158,NA,NA,27980,137962,NA,"nd-IT-0004;nd-IT-0006",NA,NA,NA,NA,NA,NA,NA,2020-03-16,3233,179,1362,929,414,349,13063,-357,2470,1541,4.04051964120012,4.93073624017155,20603,11.9885453574722,1.69392806872786,2.00941610445081
"23","ITA",12894,2060,14954,11108,26062,2989,3526,2941,2503,NA,NA,31506,148657,NA,"nd-IT-0009",NA,NA,NA,NA,NA,NA,NA,2020-03-17,3526,209,1869,911,192,345,10695,293,2989,2078,3.03318207600681,4.71837110391671,23073,12.9545356043861,1.49525419321285,0.832141464048888
"24","ITA",14363,2257,16620,12090,28710,2648,4207,4025,2978,NA,NA,35713,165541,NA,"nd-IT-0012;nd-IT-0014",NA,NA,NA,NA,NA,NA,NA,2020-03-18,4207,197,1469,982,1084,475,16884,681,2648,1666,4.01331114808652,4.63531487133537,26062,10.16038677001,1.82257693193155,4.15931240887115
"25","ITA",15757,2498,18255,14935,33190,4480,5322,4440,3405,NA,NA,41035,182777,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-19,5322,241,1394,2845,415,427,17236,1115,4480,1635,3.23863209319805,4.45417326672353,28710,15.6043190525949,1.48728665970045,1.44548937652386
"26","ITA",16020,2655,18675,19185,37860,4670,5986,5129,4032,NA,NA,47021,206886,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-20,5986,157,263,4250,689,627,24109,664,4670,420,4.02756431673906,4.39986389060207,33190,14.0705031636035,1.88912322988852,2.07592648388069
"27","ITA",17708,2857,20565,22116,42681,4821,6557,6072,4825,NA,NA,53578,233222,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-21,6557,202,1688,2931,943,793,26336,571,4821,1890,4.01647094707946,4.35294337227967,37860,12.7337559429477,2.094558901215,2.49075541468568
"28","ITA",19846,3009,22855,23783,46638,3957,5560,7024,5476,NA,NA,59138,258402,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-22,5560,152,2138,1667,952,651,25180,-997,3957,2290,4.52877697841727,4.3694747877845,42681,9.27110423841991,1.52526885499403,2.23050069117406
"29","ITA",20692,3204,23896,26522,50418,3780,4789,7432,6077,NA,NA,63927,275468,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-23,4789,195,846,2739,408,601,17066,-771,3780,1041,3.56358321152641,4.30910257011904,46638,8.10497877267464,1.2886487413697,0.874823105622025
"30","ITA",21937,3396,25333,28697,54030,3612,5249,8326,6820,NA,NA,69176,296964,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-24,5249,192,1245,2175,894,743,21496,460,3612,1437,4.09525623928367,4.29287614201457,50418,7.16410805664644,1.47368003490817,1.7731762465786
"31","ITA",23112,3489,26601,30920,57521,3491,5210,9362,7503,NA,NA,74386,324445,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-25,5210,93,1175,2223,1036,683,27481,-39,3491,1268,5.2746641074856,4.36164063130159,54030,6.46122524523413,1.26411253007588,1.91745326670368
"32","ITA",24753,3612,28365,33648,62013,4492,6153,10361,8165,NA,NA,80539,361060,NA,"pd-IT-0007",NA,NA,NA,NA,NA,NA,NA,2020-03-26,6153,123,1641,2728,999,662,36615,943,4492,1764,5.95075572891273,4.48304548107128,57521,7.80932181290311,1.1508840249648,1.73675701048313
"33","ITA",26029,3732,29761,36653,66414,4401,5959,10950,9134,NA,NA,86498,394079,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-27,5959,120,1276,3005,589,969,33019,-194,4401,1396,5.54103037422386,4.55593192906194,62013,7.09689903729863,1.56257558898941,0.949800848209246
"34","ITA",26676,3856,30532,39533,70065,3651,5974,12384,10023,NA,NA,92472,429526,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-28,5974,124,647,2880,1434,889,35447,15,3651,771,5.93354536324071,4.64493035729734,66414,5.49733489926823,1.33857319239919,2.15918330472491
"35","ITA",27386,3906,31292,42588,73880,3815,5217,13030,10779,NA,NA,97689,454030,NA,"pd-IT-0009",NA,NA,NA,NA,NA,NA,NA,2020-03-29,5217,50,710,3055,646,756,24504,-757,3815,760,4.69695227142036,4.64770854446253,70065,5.44494398058945,1.07899807321773,0.92200099907229
"36","ITA",27795,3981,31776,43752,75528,1648,4050,14620,11591,NA,NA,101739,477359,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-30,4050,75,409,1164,1590,812,23329,-1167,1648,484,5.76024691358025,4.6919961863199,73880,2.23064428803465,1.09907958852193,2.15213860314023
"37","ITA",28192,4023,32215,45420,77635,2107,4053,15729,12428,NA,NA,105792,506968,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-03-31,4053,42,397,1668,1109,837,29609,3,2107,439,7.30545275104861,4.79212038717483,75528,2.78969388835928,1.10819828408008,1.46832962609893
"38","ITA",28403,4035,32438,48134,80572,2937,4782,16847,13155,NA,NA,110574,541423,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-01,4782,12,211,2714,1118,727,34455,729,2937,223,7.20514429109159,4.8964765677284,77635,3.78308752495653,0.936433309718555,1.4400721324145
"39","ITA",28540,4053,32593,50456,83049,2477,4668,18278,13915,NA,NA,115242,581232,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-02,4668,18,137,2322,1431,760,39809,-114,2477,155,8.52806341045416,5.04357786223773,80572,3.07426897681577,0.943255721590627,1.77605123367919
"40","ITA",28741,4068,32809,52579,85388,2339,4585,19758,14681,NA,NA,119827,619849,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-03,4585,15,201,2123,1480,766,38617,-83,2339,216,8.42246455834242,5.17286588164604,83049,2.81640958951944,0.922347048128213,1.78208045852449
"41","ITA",29010,3994,33004,55270,88274,2886,4805,20996,15362,NA,NA,124632,657224,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-04,4805,-74,269,2691,1238,681,37375,220,2886,195,7.7783558792924,5.27331664420053,85388,3.3798660233288,0.79753595352977,1.44985243828173
"42","ITA",28949,3977,32926,58320,91246,2972,4316,21815,15887,NA,NA,128948,691461,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-05,4316,-17,-61,3050,819,525,34237,-489,2972,-78,7.93257645968489,5.36232434779911,88274,3.36678976822167,0.594739107778055,0.927793008133765
"43","ITA",28976,3898,32874,60313,93187,1941,3599,22837,16523,NA,NA,132547,721732,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-06,3599,-79,27,1993,1022,636,30271,-717,1941,-52,8.41094748541262,5.44510249194625,91246,2.12721653551937,0.697016855533393,1.12004909804265
"44","ITA",28718,3792,32510,61557,94067,880,3039,24392,17127,NA,NA,135586,755445,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-07,3039,-106,-258,1244,1555,604,33713,-560,880,-364,11.0934517933531,5.57170356821501,93187,0.944337729511627,0.64815907798298,1.6686876924893
"45","ITA",28485,3693,32178,63084,95262,1195,3836,26491,17669,NA,NA,139422,807125,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-08,3836,-99,-233,1527,2099,542,51680,797,1195,-332,13.4723670490094,5.78907919840484,94067,1.27037111845812,0.576185059585189,2.23138826581054
"46","ITA",28399,3605,32004,64873,96877,1615,4204,28470,18279,NA,NA,143626,853369,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-09,4204,-88,-86,1789,1979,610,46244,368,1615,-174,11,5.94160528038099,95262,1.69532447355714,0.640339274842015,2.07742856543008
"47","ITA",28242,3497,31739,66534,98273,1396,3951,30455,18849,NA,NA,147577,906864,NA,"pd-IT-0011",NA,NA,NA,NA,NA,NA,NA,2020-04-10,3951,-108,-157,1661,1985,570,53495,-253,1396,-265,13.5396102252594,6.14502259837237,96877,1.44100250833531,0.588374949678458,2.04898995633639
"48","ITA",28144,3381,31525,68744,100269,1996,4694,32534,19468,NA,NA,152271,963473,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-11,4694,-116,-98,2210,2079,619,56609,743,1996,-214,12.0598636557307,6.32735714614076,98273,2.03107669451426,0.62987799293804,2.11553529453665
"49","ITA",27847,3343,31190,71063,102253,1984,4092,34211,19899,NA,NA,156363,1010193,NA,"dc-IT-0003",NA,NA,NA,NA,NA,NA,NA,2020-04-12,4092,-38,-297,2319,1677,431,46720,-602,1984,-335,11.4173998044966,6.46056292089561,100269,1.97867735790723,0.429843720392145,1.67250097238429
"50","ITA",28023,3260,31283,72333,103616,1363,3153,35435,20465,NA,NA,159516,1046910,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-13,3153,-83,176,1270,1224,566,36717,-939,1363,93,11.6450999048525,6.56304069811179,102253,1.33296822587112,0.553528991814421,1.1970308939591
"51","ITA",28011,3186,31197,73094,104291,675,2972,37130,21067,NA,NA,162488,1073689,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-14,2972,-74,-12,761,1695,602,26779,-181,675,-86,9.01043068640646,6.60780488405298,103616,0.651443792464484,0.580991352686844,1.63584774552193
"52","ITA",27643,3079,30722,74696,105418,1127,2667,38092,21645,NA,NA,165155,1117404,NA,"dc-IT-0005",NA,NA,NA,NA,NA,NA,NA,2020-04-15,2667,-107,-368,1602,962,578,43715,-305,1127,-475,16.3910761154856,6.76578971269414,104291,1.08063015984121,0.554218484816523,0.922419000680787
"53","ITA",26893,2936,29829,76778,106607,1189,3786,40164,22170,NA,NA,168941,1178403,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-16,3786,-143,-750,2082,2072,525,60999,1119,1189,-893,16.1117274167987,6.97523395741709,105418,1.12789087252651,0.498017416380504,1.96550873664839
"54","ITA",25786,2812,28598,78364,106962,355,3493,42727,22745,NA,NA,172434,1244108,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-17,3493,-124,-1107,1586,2563,575,65705,-293,355,-1231,18.8104780990553,7.21498080424974,106607,0.332998771187633,0.539364206853209,2.40415732550395
"55","ITA",25007,2733,27740,80031,107771,809,3491,44927,23227,NA,NA,175925,1305833,NA,"",NA,NA,NA,NA,NA,NA,NA,2020-04-18,3491,-79,-779,1667,2200,482,61725,-2,809,-858,17.6811801775995,7.42266875088816,106962,0.756343374282455,0.450627325592266,2.05680522054561
"56","ITA",25033,2635,27668,80589,108257,486,3047,47055,23660,NA,NA,178972,1356541,935310,"",NA,NA,NA,NA,NA,NA,NA,2020-04-19,3047,-98,26,558,2128,433,50708,-444,486,-72,16.6419428946505,7.57962698075677,107771,0.450956194152416,0.401777843761309,1.97455716287313
"57","ITA",24906,2573,27479,80758,108237,-20,2256,48877,24114,NA,NA,181228,1398024,943151,"dc-IT-0007",NA,NA,NA,NA,NA,NA,NA,2020-04-20,2256,-62,-127,169,1822,454,41483,-791,-20,-189,18.3878546099291,7.71417220297084,108257,-0.0184745559178621,0.41937241933547,1.68303204411724
"58","ITA",24134,2471,26605,81104,107709,-528,2729,51600,24648,NA,NA,183957,1450150,971246,"pd-IT-0013",NA,NA,NA,NA,NA,NA,NA,2020-04-21,2729,-102,-772,346,2723,534,52126,473,-528,-874,19.100769512642,7.8830922443832,108237,-0.487818398514371,0.49336178940658,2.51577556658074
"59","ITA",23805,2384,26189,81510,107699,-10,3370,54543,25085,NA,NA,187327,1513251,1015494,"",NA,NA,NA,NA,NA,NA,NA,2020-04-22,3370,-87,-329,406,2943,437,63101,641,-10,-416,18.7243323442137,8.07812541705147,107709,-0.00928427522305471,0.405722827247491,2.732362198145
"60","ITA",22871,2267,25138,81710,106848,-851,2646,57576,25549,NA,NA,189973,1579909,1052577,"pd-IT-0015;pd-IT-0017",NA,NA,NA,NA,NA,NA,NA,2020-04-23,2646,-117,-934,200,3033,464,66658,-724,-851,-1051,25.1919879062736,8.31649234364883,107699,-0.790165182592225,0.430830369827018,2.8161821372529
"61","ITA",22068,2173,24241,82286,106527,-321,3021,60498,25969,NA,NA,192994,1642356,1147850,"dc-IT-0009;dc-IT-0011",NA,NA,NA,NA,NA,NA,NA,2020-04-24,3021,-94,-803,576,2922,420,62447,375,-321,-897,20.670969877524,8.50988113620113,106848,-0.300426774483378,0.393081761006289,2.73472596585804
"62","ITA",21533,2102,23635,82212,105847,-680,2357,63120,26384,NA,NA,195351,1707743,1186526,"",NA,NA,NA,NA,NA,NA,NA,2020-04-25,2357,-71,-535,-74,2622,415,65387,-664,-680,-606,27.7416207042851,8.74192095254183,106527,-0.638335820965577,0.389572596618698,2.46134782731139
"63","ITA",21372,2009,23381,82722,106103,256,2324,64928,26644,NA,NA,197675,1757659,1210639,"dc-IT-0013",NA,NA,NA,NA,NA,NA,NA,2020-04-26,2324,-93,-161,510,1808,260,49916,-33,256,-254,21.4784853700516,8.89166055393955,105847,0.24185853165418,0.245637571211277,1.70812587980765
"64","ITA",20353,1956,22309,83504,105813,-290,1739,66624,26977,NA,NA,199414,1789662,1237317,"",NA,NA,NA,NA,NA,NA,NA,2020-04-27,1739,-53,-1019,782,1696,333,32003,-585,-290,-1072,18.4031052328925,8.97460559439157,106103,-0.27331932179109,0.313845979849769,1.59844679226789
"65","ITA",19723,1863,21586,83619,105205,-608,2091,68941,27359,NA,NA,201505,1846934,1274871,"",NA,NA,NA,NA,NA,NA,NA,2020-04-28,2091,-93,-630,115,2317,382,57272,352,-608,-723,27.3897656623625,9.1656981216347,105813,-0.574598584294935,0.361014242106357,2.18971203916343
"66","ITA",19210,1795,21005,83652,104657,-548,2086,71252,27682,NA,NA,203591,1910761,1313460,"",NA,NA,NA,NA,NA,NA,NA,2020-04-29,2086,-68,-513,33,2311,323,63827,-5,-548,-581,30.597794822627,9.38529208069119,105205,-0.520887790504254,0.30701962834466,2.19666365667031
"67","ITA",18149,1694,19843,81708,101551,-3106,1872,75945,27967,NA,NA,205463,1979217,1354901,"",NA,NA,NA,NA,NA,NA,NA,2020-04-30,1872,-101,-1061,-1944,4693,285,68456,-214,-3106,-1162,36.5683760683761,9.6329606790517,104657,-2.96779001882339,0.272318144032411,4.48417210506703
"68","ITA",17569,1578,19147,81796,100943,-608,1965,78249,28236,NA,NA,207428,2053425,1398633,"dc-IT-0015",NA,NA,NA,NA,NA,NA,NA,2020-05-01,1965,-116,-580,88,2304,269,74208,93,-608,-696,37.7648854961832,9.89945908941898,101551,-0.598713946686886,0.264891532333507,2.26881074533978
"69","ITA",17357,1539,18896,81808,100704,-239,1900,79914,28710,NA,NA,209328,2108837,1429864,"dc-IT-0017",NA,NA,NA,NA,NA,NA,NA,2020-05-02,1900,-39,-212,12,1665,474,55412,-65,-239,-251,29.1642105263158,10.0743187724528,100943,-0.236767284507098,0.469571936637508,1.64944572679631
"70","ITA",17242,1501,18743,81436,100179,-525,1389,81654,28884,NA,NA,210717,2153772,1456911,"",NA,NA,NA,NA,NA,NA,NA,2020-05-03,1389,-38,-115,-372,1740,174,44935,-511,-525,-153,32.3506119510439,10.2211591850681,100704,-0.521329837940896,0.17278360343184,1.7278360343184
"71","ITA",16823,1479,18302,81678,99980,-199,1221,82879,29079,NA,NA,211938,2191403,1479910,"dc-IT-0019",NA,NA,NA,NA,NA,NA,NA,2020-05-04,1221,-22,-419,242,1225,195,37631,-168,-199,-441,30.8198198198198,10.3398305164718,100179,-0.198644426476607,0.194651573683107,1.22281116800926
"72","ITA",16270,1427,17697,80770,98467,-1513,1075,85231,29315,NA,NA,213013,2246666,1512121,"",NA,NA,NA,NA,NA,NA,NA,2020-05-05,1075,-52,-553,-908,2352,236,55263,-146,-1513,-605,51.4074418604651,10.5470839807899,99980,-1.51330266053211,0.236047209441888,2.35247049409882
"73","ITA",15769,1333,17102,74426,91528,-6939,1444,93245,29684,NA,NA,214457,2310929,1549892,"dc-IT-0021",NA,NA,NA,NA,NA,NA,NA,2020-05-06,1444,-94,-501,-6344,8014,369,64263,369,-6939,-595,44.5034626038781,10.7757219395963,98467,-7.04703098500005,0.374744838372247,8.13876730275117
"74","ITA",15174,1311,16485,73139,89624,-1904,1401,96276,29958,NA,NA,215858,2381288,1563557,"dc-IT-0023",NA,NA,NA,NA,NA,NA,NA,2020-05-07,1401,-22,-595,-1287,3031,274,70359,-43,-1904,-617,50.220556745182,11.0317338250146,91528,-2.08023774145617,0.299361943886024,3.31155493400927
"75","ITA",14636,1168,15804,72157,87961,-1663,1327,99023,30201,NA,NA,217185,2445063,1608985,"dc-IT-0025",NA,NA,NA,NA,NA,NA,NA,2020-05-08,1327,-143,-538,-982,2747,243,63775,-74,-1663,-681,48.0595327807084,11.2579736169625,89624,-1.85552976881193,0.271132732303847,3.06502722485049
"76","ITA",13834,1034,14868,69974,84842,-3119,1083,103031,30395,NA,NA,218268,2514234,1645076,"",NA,NA,NA,NA,NA,NA,NA,2020-05-09,1083,-134,-802,-2183,4008,194,69171,-244,-3119,-936,63.8698060941828,11.519022486118,87961,-3.54588965564284,0.220552290219529,4.55656484123646
"77","ITA",13618,1027,14645,68679,83324,-1518,802,105186,30560,NA,NA,219070,2565912,1676460,"",NA,NA,NA,NA,NA,NA,NA,2020-05-10,802,-7,-216,-1295,2155,165,51678,-281,-1518,-223,64.4364089775561,11.712749349523,84842,-1.78920817519625,0.194479149477853,2.54001555833196
"78","ITA",13539,999,14538,67950,82488,-836,744,106587,30739,NA,NA,219814,2606652,1702283,"",NA,NA,NA,NA,NA,NA,NA,2020-05-11,744,-28,-79,-729,1401,179,40740,-58,-836,-107,54.758064516129,11.8584439571638,83324,-1.00331237098555,0.214824060294753,1.68138831549134
"79","ITA",12865,952,13817,67449,81266,-1222,1402,109039,30911,NA,NA,221216,2673655,1741903,"dc-IT-0027",NA,NA,NA,NA,NA,NA,NA,2020-05-12,1402,-47,-674,-501,2452,172,67003,658,-1222,-721,47.7910128388017,12.0861736944886,82488,-1.48142760159053,0.20851517796528,2.97255358355155
"80","ITA",12172,893,13065,65392,78457,-2809,888,112541,31106,NA,NA,222104,2735628,1778952,"",NA,NA,NA,NA,NA,NA,NA,2020-05-13,888,-59,-693,-2057,3502,195,61973,-514,-2809,-752,69.7894144144144,12.3168785794042,81266,-3.45655009475057,0.239952747766594,4.3093052445057
"81","ITA",11453,855,12308,64132,76440,-2017,992,115288,31368,NA,NA,223096,2807504,1820083,"dc-IT-0029",NA,NA,NA,NA,NA,NA,NA,2020-05-14,992,-38,-719,-1260,2747,262,71876,104,-2017,-757,72.4556451612903,12.5842865851472,78457,-2.57083497967039,0.333940884815886,3.50128095644748
"82","ITA",10792,808,11600,60470,72070,-4370,789,120205,31610,NA,NA,223885,2875680,1859110,"dc-IT-0031",NA,NA,NA,NA,NA,NA,NA,2020-05-15,789,-47,-661,-3662,4917,242,68176,-203,-4370,-708,86.4081115335868,12.8444513924559,76440,-5.71690214547357,0.316588173731031,6.43249607535322
"83","ITA",10400,775,11175,59012,70187,-1883,875,122810,31763,NA,NA,224760,2944859,1899767,"",NA,NA,NA,NA,NA,NA,NA,2020-05-16,875,-33,-392,-1458,2605,153,69179,86,-1883,-425,79.0617142857143,13.1022379426944,72070,-2.61273761620647,0.212293603441099,3.61454141806577
"84","ITA",10311,762,11073,57278,68351,-1836,675,125176,31908,NA,NA,225435,3004960,1933272,"",NA,NA,NA,NA,NA,NA,NA,2020-05-17,675,-13,-89,-1734,2366,145,60101,-200,-1836,-102,89.0385185185185,13.3296072038503,70187,-2.61586903557639,0.206590964138658,3.37099462863493
"85","ITA",10207,749,10956,55597,66553,-1798,451,127326,32007,NA,NA,225886,3041366,1959373,"pd-IT-0019",NA,NA,NA,NA,NA,NA,NA,2020-05-18,451,-13,-104,-1681,2150,99,36406,-224,-1798,-117,80.7228381374723,13.4641633390294,68351,-2.63053942151541,0.144840602185776,3.14552822928706
"86","ITA",9991,716,10707,54422,65129,-1424,813,129401,32169,NA,NA,226699,3104524,1999599,"dc-IT-0033",NA,NA,NA,NA,NA,NA,NA,2020-05-19,813,-33,-216,-1175,2075,162,63158,362,-1424,-249,77.6851168511685,13.6944759350504,66553,-2.13964810001052,0.243415022613556,3.1178158760687
"87","ITA",9624,676,10300,52452,62752,-2377,665,132282,32330,NA,NA,227364,3171719,2038216,"",NA,NA,NA,NA,NA,NA,NA,2020-05-20,665,-40,-367,-1970,2881,161,67195,-148,-2377,-407,101.045112781955,13.9499612955437,65129,-3.64967986611187,0.247201707380737,4.42352868921679
"88","ITA",9269,640,9909,51051,60960,-1792,642,134560,32486,NA,NA,228006,3243398,2078860,"",NA,NA,NA,NA,NA,NA,NA,2020-05-21,642,-36,-355,-1401,2278,156,71679,-23,-1792,-391,111.64953271028,14.2250554809961,62752,-2.8556858745538,0.248597654258032,3.63016318204997
"89","ITA",8957,595,9552,49770,59322,-1638,652,136720,32616,NA,NA,228658,3318778,2121847,"",NA,NA,NA,NA,NA,NA,NA,2020-05-22,652,-45,-312,-1281,2160,130,75380,10,-1638,-357,115.613496932515,14.5141565132206,60960,-2.68700787401575,0.213254593175853,3.54330708661417
"90","ITA",8695,572,9267,48485,57752,-1570,669,138840,32735,NA,NA,229327,3391188,2164426,"",NA,NA,NA,NA,NA,NA,NA,2020-05-23,669,-23,-262,-1285,2120,119,72410,17,-1570,-285,108.236173393124,14.7875653542758,59322,-2.64657294089882,0.200600114628637,3.5737163278379
